Park Name,5 Year Visitation Total,Latitude,Longitude,Distance to Highway (miles),Distance to Nearest Airport (miles),Number of Lodging Accommodations (within 31 miles)
Denali National Park ,1811807,63.23166155,-151.04055543225257,70.40398458190323,21.520030812996747,6
Gates of the Arctic National Park ,41254,67.750841,-153.24745565867386,88.33611607724114,,0
Glacier Bay National Park ,2017020,58.8141751,-136.87209353901636,90.15859009696224,,0
Katmai National Park ,228113,58.5049844,-155.08962259876455,66.31897838499872,,3
Kenai Fjords National Park,1661733,59.8685631,-150.02577138327234,90.98039594290907,27.85451890759321,20
Kobuk Valley National Park,73032,67.3898231,-159.0574319013683,100.42725017506012,,0
Lake Clark National Park ,75298,60.7031496,-153.26592155396835,65.75853633633209,,3
Wrangell-St. Elias National Park ,284903,61.18090445,-143.8276359994633,85.06179201751,,3
Arches National Park,7647347,38.72652525,-109.56302009799683,89.65354877055844,10.11570657391191,20
Big Bend National Park,2462195,29.333248349999998,-103.19417205422886,17.69465094686744,14.716347137222066,20
Black Canyon of the Gunnison National Park,1737674,38.579806500000004,-107.74369704974094,94.78888425027804,10.055033871793981,20
Bryce Canyon National Park,10980088,37.5707948,-112.18559391121381,75.42003205593483,9.135515891708051,20
Canyonlands National Park,3718973,38.233258649999996,-109.92066271557445,94.1486642909538,20.988795053231954,20
Capitol Reef National Park,6109379,38.06702855,-111.15525624854631,82.4206306118646,5.02195273871704,20
Carlsbad Caverns National Park,1758823,32.1212489,-104.60123062979443,85.24730548561669,14.706935581842634,20
Glacier National Park,13672433,48.6174862,-113.76088505945765,76.96641454614925,31.009432201848316,20
Grand Canyon National Park,22869992,36.307854750000004,-112.29289603702432,91.67473159124495,25.549001359657463,20
Grand Teton National Park,16803811,43.81056675,-110.64879477714322,97.52914085784282,23.479281578705635,20
Great Sand Dunes National Park ,2597338,37.791187050000005,-105.61226723463207,90.23179445591539,27.664105678375936,20
Guadalupe Mountains National Park,1030707,31.9161088,-104.90073701370508,91.21259048796496,17.209990117859306,20
Mesa Verde National Park,2397141,37.253776,-108.45559640928934,89.53664426405359,10.224401788031217,20
Petrified Forest National Park,2644105,34.9744769,-109.7079943374626,87.82525457422764,24.79134710607769,20
Rocky Mountain National Park,20826361,40.3553915,-105.71769566830672,35.30417428242521,21.08625939622104,20
Saguaro National Park,4781338,32.16837575,-110.6183452396687,95.38500774595765,19.174322789105357,20
White Sands National Park,3240860,32.76418085,-106.33119299000077,75.33772000608441,20.30604572152242,20
Yellowstone National Park,20478460,44.6200885,-110.56068933143061,94.73821572175378,27.683946505840588,20
Zion National Park,22435012,37.3247408,-113.0048035752838,75.06225941520064,26.091731289847402,20
Badlands National Park,5165365,43.52710585,-102.36166289567404,40.09086006471166,,18
Cuyahoga Valley National Park,13342271,41.2550938,-81.53764171921739,85.2602988237603,19.461126861840675,20
Gateway Arch National Park,7728021,38.6245067,-90.18568334858385,94.13006390498447,13.394654525076925,20
Hot Springs National Park,10127352,34.52907115,-93.03014017268711,22.528565236485885,28.535515820464166,20
Indiana Dunes National Park,13204673,41.6152664,-87.2072619312131,37.67206160607721,30.568885017812846,20
Isle Royale National Park,113166,48.0073825,-88.8289875184977,96.617885108668,30.009041357937036,20
Theodore Roosevelt National Park,3454587,46.95847755,-103.46500519953435,59.472059051984786,24.502578044558746,20
Voyageurs National Park,1181366,48.465548999999996,-92.88539732291298,96.02916056550694,21.64565964056433,20
Wind Cave National Park,2972633,43.5788651,-103.47085320691701,91.96232992423793,9.766175601427872,20
Acadia National Park,18025568,44.356311500000004,-68.21547874304889,99.54952226148137,9.501526823131378,20
New River Gorge National Park ,7233561,38.06960665,-81.0801739569784,98.58237936341294,19.814768856805,20
Shenandoah National Park,7709392,38.47196675,-78.4636972836092,85.60382272625206,22.972271265957588,20
Channel Islands National Park,1548163,33.96637215,-120.09542036416883,98.68568316713484,14.417435989693269,11
Crater Lake National Park,3109998,42.931692,-122.12789046118752,45.44097977068242,22.307571204299183,20
Death Valley National Park,5936013,36.4702428,-117.08839086763231,92.00357942314994,11.647422395793821,20
Great Basin National Park,682305,38.9441564,-114.23494569573543,72.97209553335188,8.785485351342826,20
Haleakala National Park,4045630,20.69913335,-156.1324300755678,14.83076189666064,23.804867531997658,20
Hawaii Volcanoes National Park,6422153,19.2608312,-155.35786619252616,27.55209226462092,7.838912791466946,20
Joshua Tree National Park,14781187,33.89706715,-115.95111578868344,21.15584665290457,21.141256362746034,20
Kings Canyon National Park,2894156,36.91527845,-118.60765585962608,65.57412284989313,23.540400207788668,20
Lassen Volcanic National Park,2284217,40.491383850000005,-121.40433594865678,47.10259276495248,12.265287612317733,20
Mount Rainier National Park,7629127,46.854338049999996,-121.70633428313513,61.442750113508936,25.168825952300285,20
National Park of American Samoa,87342,-14.24912975,-169.44904020540844,86.22701968457419,15.47546729432545,5
North Cascades National Park,157453,48.80834845,-121.40621496202702,34.652342721615305,25.068423206598602,20
Olympic National Park,13844383,47.786532449999996,-123.53605033085455,98.63507183249504,22.874944822020083,20
Pinnacles National Park,1308064,36.486251499999995,-121.17114078925317,96.84415714673423,27.495048655773306,20
Redwood National Park,2073283,41.76807455,-124.0505009068986,71.12323363671184,24.184938227327194,20
Sequoia National Park,5235452,36.49584065,-118.55991938438643,97.8278247317283,18.150105738856904,20
Yosemite National Park,17543389,37.83930035,-119.51646348068644,71.85265378608501,23.770760351871274,20
Biscayne National Park,3089212,25.503122349999998,-80.23484963198766,46.03767866216424,15.743296982367248,20
Congaree National Park,948568,33.79415535,-80.7636520686356,83.76782777467115,22.982474392555158,20
Dry Tortugas National Park,374333,24.641922100000002,-82.87540742230456,71.70091672190219,,2
Everglades National Park,4728131,25.36794425,-80.87830662413266,65.53856265398444,22.488494486988536,20
Great Smoky Mountains National Park,65040291,35.634220049999996,-83.40236602525079,73.4696907968543,17.380094432566633,20
Mammoth Cave National Park,2675353,37.1841693,-86.12299102912881,77.17332212912267,22.210892559385144,20
Virgin Islands National Park,1165374,18.336883049999997,-64.740011839034,84.10491058023774,15.19939852615784,20
